num,sitename,lon,lat
508,WMO07031,0.17,49.37
509,WMO07037,1.18,49.38
510,WMO07038,1.22,49.02
511,WMO07040,1.10,49.93
512,WMO07055,2.12,49.45
513,WMO07057,2.52,49.25
514,WMO07061,3.20,49.82
515,WMO07070,4.03,49.30
516,WMO07090,6.13,49.08
517,WMO07100,-5.13,48.47
518,WMO07103,-4.73,48.03
519,WMO07110,-4.42,48.45
520,WMO07119,-3.33,48.23
521,WMO07121,-3.00,48.85
522,WMO07125,-2.07,48.58
523,WMO07127,-1.85,48.72
524,WMO07130,-1.73,48.07
525,WMO07133,-1.62,48.83
526,WMO07139,0.10,48.45
527,WMO07140,1.38,48.05
528,WMO07143,1.52,48.47
529,WMO07147,2.20,48.77
530,WMO07149,2.40,48.73
531,WMO07150,2.45,48.97
532,WMO07157,2.53,49.02
533,WMO07168,4.02,48.33
534,WMO07169,4.90,48.63
535,WMO07179,5.98,48.78
536,WMO07180,6.22,48.68
537,WMO07181,5.97,48.58
538,WMO07186,7.30,48.77
539,WMO07190,7.63,48.55
540,WMO07197,7.40,47.92
541,WMO07200,-4.37,47.80
542,WMO07201,-4.17,47.97
543,WMO07205,-3.45,47.77
544,WMO07207,-3.22,47.30
545,WMO07217,-2.17,47.32
546,WMO07222,-1.60,47.17
547,WMO07230,-0.57,47.50
548,WMO07240,0.72,47.45
549,WMO07249,1.75,47.98
550,WMO07255,2.37,47.07
551,WMO07257,2.65,47.05
552,WMO07260,3.10,47.00
553,WMO07265,3.55,47.80
554,WMO07270,3.93,47.07
555,WMO07280,5.08,47.27
556,WMO07283,5.32,47.83
557,WMO07288,5.98,47.25
558,WMO07292,6.35,47.78
559,WMO07295,6.87,47.63
560,WMO07299,7.52,47.60
561,WMO07300,-2.33,46.70
562,WMO07314,-1.42,46.03
563,WMO07315,-1.15,46.15
564,WMO07335,0.32,46.58
565,WMO07354,1.72,46.85
566,WMO07374,3.40,46.17
567,WMO07379,4.02,46.42
568,WMO07382,4.43,46.65
569,WMO07385,4.80,46.30
570,WMO07400,-1.23,45.70
571,WMO07412,-0.32,45.67
572,WMO07428,0.82,45.20
573,WMO07434,1.18,45.87
574,WMO07442,2.97,45.77
575,WMO07460,3.17,45.78
576,WMO07470,3.90,45.05
577,WMO07477,4.38,45.93
578,WMO07480,4.95,45.72
579,WMO07481,5.08,45.73
580,WMO07486,5.33,45.37
581,WMO07491,5.88,45.65
582,WMO07497,6.77,45.62
583,WMO07500,-1.25,44.63
584,WMO07502,-1.13,44.53
585,WMO07503,-1.25,44.43
586,WMO07510,-0.70,44.83
587,WMO07524,0.60,44.18
588,WMO07535,1.40,44.75
589,WMO07549,2.42,44.88
590,WMO07558,3.02,44.12
591,WMO07577,4.73,44.58
592,WMO07579,4.83,44.13
593,WMO07587,5.70,44.68
594,WMO07588,6.00,44.07
595,WMO07591,6.50,44.57
596,WMO07602,-1.53,43.47
597,WMO07603,-1.07,43.68
598,WMO07607,-0.50,43.92
599,WMO07610,-0.42,43.38
600,WMO07621,0.00,43.18
601,WMO07627,1.10,43.00
602,WMO07630,1.37,43.63
603,WMO07635,2.32,43.22
604,WMO07640,2.12,43.92
605,WMO07641,3.68,43.40
606,WMO07643,3.97,43.58
607,WMO07645,4.40,43.87
608,WMO07646,4.42,43.75
609,WMO07647,4.93,43.52
610,WMO07650,5.22,43.45
611,WMO07653,5.05,43.33
612,WMO07660,5.93,43.10
613,WMO07667,6.15,43.10
614,WMO07670,6.23,43.00
615,WMO07690,7.20,43.65
616,WMO07695,7.33,43.68
617,WMO07720,0.15,42.93
618,WMO07747,2.87,42.73
619,WMO07749,3.13,42.52
620,WMO07756,8.68,42.52
621,WMO07761,8.80,41.92
622,WMO07765,9.40,41.92
623,WMO07768,9.37,41.60
624,WMO07770,9.18,41.37
625,WMO07780,9.10,41.50
626,WMO07785,9.37,43.00
627,WMO07790,9.48,42.55
628,WMO07791,9.48,42.80
629,WMO08001,-8.42,43.37
630,WMO08008,-7.48,43.25
631,WMO08015,-5.87,43.35
632,WMO08023,-3.82,43.47
633,WMO08027,-2.05,43.32
634,WMO08045,-8.63,42.23
635,WMO08055,-5.65,42.58
636,WMO08075,-3.63,42.37
637,WMO08084,-2.33,42.45
638,WMO08141,-4.75,41.50
639,WMO08160,-1.02,41.67
640,WMO08181,2.07,41.28
641,WMO08202,-5.50,40.95
642,WMO08221,-3.58,40.45
643,WMO08233,-1.30,40.87
644,WMO08238,0.50,40.82
645,WMO08261,-6.37,39.48
646,WMO08280,-1.85,38.95
647,WMO08284,-0.47,39.50
648,WMO08306,2.73,39.55
649,WMO08314,4.23,39.87
650,WMO08348,-3.92,38.98
651,WMO08360,-0.55,38.28
652,WMO08373,1.38,38.87
653,WMO08391,-5.90,37.42
654,WMO08410,-4.83,37.85
655,WMO08419,-3.78,37.18
656,WMO08433,-0.80,37.78
657,WMO08451,-6.07,36.75
658,WMO08482,-4.48,36.67
659,WMO08487,-2.38,36.85
660,WMO08495,-5.35,36.15
661,WMO08501,-31.13,39.45
662,WMO08505,-28.72,38.52
663,WMO08509,-27.08,38.75
664,WMO08512,-25.70,37.73
665,WMO08515,-25.17,36.97
666,WMO08521,-16.77,32.68
667,WMO08524,-16.35,33.07
668,WMO08530,-9.40,39.35
669,WMO08536,-9.13,38.78
670,WMO08538,-8.95,36.98
671,WMO08543,-8.80,41.70
672,WMO08545,-8.68,41.23
673,WMO08549,-8.42,40.20
674,WMO08554,-7.97,37.02
675,WMO08557,-7.90,38.57
676,WMO08562,-7.87,38.02
677,WMO08566,-7.73,41.32
678,WMO08568,-7.55,40.42
679,WMO08571,-7.42,39.28
680,WMO08575,-6.73,41.80
681,WMO08589,-23.52,14.90
682,WMO08594,-22.95,16.73
683,WMO09091,13.43,54.68
684,WMO09161,11.20,54.00
685,WMO09162,11.42,53.63
686,WMO09170,12.08,54.18
687,WMO09177,12.62,53.77
688,WMO09184,13.40,54.10
689,WMO09193,14.07,53.75
690,WMO09249,10.72,53.38
691,WMO09261,11.73,52.90
692,WMO09264,11.93,53.32
693,WMO09270,12.82,52.90
694,WMO09280,13.20,53.55
695,WMO09291,14.00,53.03
696,WMO09359,11.40,52.52
697,WMO09361,11.58,52.12
698,WMO09379,13.07,52.38
699,WMO09385,13.52,52.38
700,WMO09393,14.12,52.22
701,WMO09398,14.53,52.37
702,WMO09449,10.32,51.40
703,WMO09453,10.62,51.80
704,WMO09454,10.77,51.85
705,WMO09460,11.30,51.38
706,WMO09469,12.23,51.42
707,WMO09474,12.65,51.88
708,WMO09479,13.02,51.30
709,WMO09488,13.78,51.13
710,WMO09490,13.58,51.65
711,WMO09492,14.30,51.77
712,WMO09499,14.95,51.17
713,WMO09548,10.38,50.57
714,WMO09552,10.77,50.65
715,WMO09554,10.97,50.98
716,WMO09558,11.18,50.38
717,WMO09567,12.13,50.88
718,WMO09569,12.15,50.50
719,WMO09577,12.87,50.80
720,WMO09578,12.95,50.43
721,WMO09582,13.75,50.73
722,WMO10002,6.37,53.80
723,WMO10005,8.12,54.00
724,WMO10006,11.15,54.60
725,WMO10007,7.45,54.18
726,WMO10015,7.90,54.18
727,WMO10020,8.42,55.02
728,WMO10022,8.95,54.80
729,WMO10026,9.15,54.52
730,WMO10033,9.50,54.83
731,WMO10034,9.35,54.63
732,WMO10035,9.55,54.53
733,WMO10037,9.52,54.47
734,WMO10038,9.53,54.32
735,WMO10045,10.10,54.33
736,WMO10046,10.15,54.38
737,WMO10113,7.15,53.72
738,WMO10122,7.88,53.53
739,WMO10126,7.67,53.55
740,WMO10129,8.58,53.53
741,WMO10131,8.70,53.87
742,WMO10136,8.67,53.77
743,WMO10147,9.98,53.63
744,WMO10156,10.70,53.88
745,WMO10203,7.20,53.33
746,WMO10215,8.17,53.18
747,WMO10218,8.23,52.88
748,WMO10224,8.78,53.05
749,WMO10235,9.83,53.00
750,WMO10253,11.17,52.97
751,WMO10305,7.32,52.52
752,WMO10313,7.60,51.97
753,WMO10314,7.55,52.33
754,WMO10317,8.05,52.25
755,WMO10320,8.32,51.93
756,WMO10325,8.75,52.10
757,WMO10328,8.90,51.95
758,WMO10334,9.43,52.45
759,WMO10338,9.70,52.47
760,WMO10348,10.45,52.30
761,WMO10381,13.30,52.47
762,WMO10384,13.40,52.47
763,WMO10400,6.78,51.28
764,WMO10401,6.13,51.20
765,WMO10402,6.22,51.12
766,WMO10405,6.13,51.60
767,WMO10406,6.53,51.83
768,WMO10410,6.97,51.40
769,WMO10419,7.60,51.22
770,WMO10424,7.92,51.57
771,WMO10427,8.48,51.18
772,WMO10430,8.83,51.78
773,WMO10438,9.45,51.30
774,WMO10444,9.95,51.55
775,WMO10452,10.62,51.72
776,WMO10501,6.10,50.78
777,WMO10502,6.67,50.83
778,WMO10503,6.18,50.82
779,WMO10508,6.65,50.45
780,WMO10509,6.88,50.98
781,WMO10510,6.95,50.33
782,WMO10513,7.13,50.87
783,WMO10515,7.58,50.35
784,WMO10526,7.97,50.67
785,WMO10532,8.70,50.57
786,WMO10542,9.70,50.87
787,WMO10544,9.95,50.50
788,WMO10609,6.67,49.75
789,WMO10613,7.07,50.17
790,WMO10615,7.05,49.77
791,WMO10626,7.60,49.85
792,WMO10635,8.45,50.22
793,WMO10637,8.58,50.05
794,WMO10639,8.60,49.85
795,WMO10640,8.73,50.12
796,WMO10655,9.90,49.80
797,WMO10658,10.08,50.20
798,WMO10671,10.95,50.27
799,WMO10675,10.92,49.88
800,WMO10685,11.88,50.32
801,WMO10688,12.18,49.67
802,WMO10704,6.68,49.28
803,WMO10706,7.05,49.48
804,WMO10708,7.12,49.22
805,WMO10723,8.13,49.37
806,WMO10727,8.37,49.03
807,WMO10729,8.55,49.52
808,WMO10737,9.18,48.77
809,WMO10738,9.20,48.68
810,WMO10742,9.52,49.20
811,WMO10761,10.97,49.03
812,WMO10763,11.08,49.50
813,WMO10776,12.10,49.05
814,WMO10791,13.28,49.08
815,WMO10803,7.85,48.00
816,WMO10815,8.42,48.45
817,WMO10818,8.77,48.10
818,WMO10836,9.87,48.67
819,WMO10838,9.97,48.38
820,WMO10852,10.93,48.43
821,WMO10853,11.22,48.72
822,WMO10856,10.87,48.18
823,WMO10857,10.90,48.07
824,WMO10858,11.27,48.20
825,WMO10865,11.55,48.13
826,WMO10866,11.72,48.13
827,WMO10869,11.95,48.32
828,WMO10875,12.53,48.25
829,WMO10893,13.48,48.58
830,WMO10900,7.62,47.90
831,WMO10908,8.00,47.87
832,WMO10929,9.18,47.68
833,WMO10946,10.33,47.72
834,WMO10947,10.23,47.98
835,WMO10948,10.28,47.40
836,WMO10961,10.98,47.42
837,WMO10962,11.02,47.80
838,WMO10963,11.07,47.48
839,WMO10980,12.02,47.70
840,WMO11001,13.68,48.10
841,WMO11003,13.48,48.22
842,WMO11008,14.00,48.58
843,WMO11010,14.18,48.23
844,WMO11012,14.13,48.05
845,WMO11014,14.83,48.40
846,WMO11015,14.50,48.52
847,WMO11021,15.03,48.97
848,WMO11022,15.97,48.77
849,WMO11024,15.37,48.35
850,WMO11028,15.62,48.20
851,WMO11030,16.12,48.32
852,WMO11032,16.62,48.67
853,WMO11035,16.37,48.25
854,WMO11036,16.57,48.12
855,WMO11101,9.75,47.50
856,WMO11105,9.60,47.27
857,WMO11106,9.82,47.18
858,WMO11112,10.57,47.13
859,WMO11116,10.75,47.50
860,WMO11120,11.35,47.27
861,WMO11122,11.70,47.33
